country,iso3,indicator_abbr,dimension,year,mean,SII,SII_se,RII,CI,CI_se,CI_Wagstaff,n_sub,gdp_pc_usd,gini,urban_pct,health_exp_pct
Afghanistan,AFG,smoked,education,2015,11.45331162050619,9.45679808482171,5.898950338081741,2.4062336089876895,0.07984170087310334,0.04980356185402194,0.09016904226944931,4,413.757894705303,,25.7007352636188,14.9857626
Afghanistan,AFG,smoked,residence,2015,11.443919842868153,-5.777079947882591,2.1915948089097595e-14,0.5969233459069534,-0.045032677757399,3.168066489654389e-17,-0.050852157951768034,2,413.757894705303,,25.7007352636188,14.9857626
Afghanistan,AFG,smoked,wealth,2015,11.477242665340624,-1.2701493886986366,3.1755102249336367,0.8951357241574828,-0.01770535294040059,0.04426528863341552,-0.02000090538692292,5,413.757894705303,,25.7007352636188,14.9857626
Albania,ALB,smoked,education,2008,15.00457510161641,8.510196464401306,3.8754038149054866,1.7916847087335366,0.07842509130186076,0.035713499598616395,0.09226977969181518,4,11377.7757431099,29.4,58.5463634043555,7.05240345
Albania,ALB,smoked,education,2017,13.917194541006825,-1.1797094271894195,3.5740444218889986,0.9186802631958237,-0.012461269793102069,0.03775262854328245,-0.014475910405868661,4,11377.7757431099,29.4,58.5463634043555,7.05240345
Albania,ALB,smoked,residence,2008,15.084033216948193,10.351062932209368,1.094834793354522e-14,2.044664793174022,0.08492811822628824,2.1995983193486257e-16,0.10001430996277469,2,11377.7757431099,29.4,58.5463634043555,7.05240345
Albania,ALB,smoked,residence,2017,13.936878017380108,9.63637024707146,1.48733873098156e-14,2.0567710042715155,0.08306877815181393,7.174931168334645e-17,0.09652075852952365,2,11377.7757431099,29.4,58.5463634043555,7.05240345
Albania,ALB,smoked,wealth,2008,15.060945461407812,10.043990072532191,1.2987818151630084,2.0005020093911265,0.1066814654100163,0.013794910816209075,0.12559766056913835,5,11377.7757431099,29.4,58.5463634043555,7.05240345
Albania,ALB,smoked,wealth,2017,13.910776361529548,6.084001754535816,0.9479919244377075,1.559768831672497,0.0699686243392798,0.010902312904200285,0.08127454445763305,5,11377.7757431099,29.4,58.5463634043555,7.05240345
Angola,AGO,any_tobacco,education,2023,4.7457148301653085,-0.7306028471876789,0.25338934208267644,0.8570533117263477,-0.021400039535791927,0.007422010411526133,-0.022466222383209833,4,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,any_tobacco,residence,2023,4.757829545995903,-3.153804628630406,3.815780384361911e-15,0.5021407854072107,-0.07182730872832027,4.9253165534709226e-17,-0.07541544715532107,2,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,any_tobacco,wealth,2023,4.743360808042308,-2.869844102722448,1.787835238056087,0.5354948667728188,-0.09639474575593171,0.06005131883729352,-0.10119477925489324,5,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,smoked,education,2015,5.578734471265529,-3.6128060349642084,1.6687594761172755,0.5108004366243877,-0.0947059612729869,0.04374479802945146,-0.10030151655207989,4,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,smoked,education,2023,3.883545328950503,-1.3723440055169809,0.7887310043867917,0.6996873316442642,-0.04912125615411872,0.028231593206532787,-0.051105980055373555,4,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,smoked,residence,2015,5.534877026412808,-6.9484635528911145,7.142160604587375e-15,0.2287290890874199,-0.13093017888346775,1.323665450996664e-16,-0.13860160741025693,2,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,smoked,residence,2023,3.878366919155829,-2.7144653858055974,2.6660633986120966e-15,0.4815368655094168,-0.0758401356688209,6.719693790300347e-17,-0.07890017391301989,2,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,smoked,wealth,2015,5.563594586405413,-5.995053592025138,1.6686081402844868,0.299735008507506,-0.17182142388994295,0.04782319660318196,-0.18194405339490868,5,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,smoked,wealth,2023,3.8841678974701033,-2.9952291173187104,1.245222032869851,0.44345035464832616,-0.12286078113461489,0.05107754554061515,-0.12782574779517622,5,2665.87444776753,51.3,70.6551379036435,2.54692864
Armenia,ARM,smoked,education,2000,65.05245901639344,-4.199999999999802,1.8960413087878534e-13,0.9374557527524868,-0.005413529361704229,3.128920562105795e-17,-0.015490444275446005,2,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,smoked,education,2005,12.30395281716652,1.5451623521277418,0.0,1.1339964056504894,0.011589041305310492,3.1926089023558064e-17,0.01321500988653346,2,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,smoked,education,2010,14.674113569714741,-6.486491867357793,3.7460827471475073,0.6379772440169424,-0.05698634789900727,0.032910790463131154,-0.0667867048126918,3,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,smoked,education,2016,19.935718316217134,-12.228087974150462,0.9019036352176808,0.5305873492517441,-0.08214855949586632,0.0060590081289765224,-0.102603255494523,3,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,smoked,residence,2000,64.93172110552764,19.000000000000078,7.110008956341951e-14,1.3427640279079378,0.03558622688479193,1.689533333070589e-16,0.10147697008991569,2,8556.21406956719,27.4,65.8113671449901,9.32119179
