iso3,year,gdp_pc_usd,gini,urban_pct,health_exp_pct,edu_years
,2010,35778.2487328682,,78.8495856198825,11.2751980129436,
,2010,35778.2487328682,,78.8495856198825,4.96208412120461,
,2010,35778.2487328682,,78.8495856198825,3.75539667900371,
,2010,35778.2487328682,,78.8495856198825,5.24935530277537,
,2010,35778.2487328682,,31.6467020992516,11.2751980129436,
,2010,35778.2487328682,,31.6467020992516,4.96208412120461,
,2010,35778.2487328682,,31.6467020992516,3.75539667900371,
,2010,35778.2487328682,,31.6467020992516,5.24935530277537,
,2010,35778.2487328682,,35.7948959086843,11.2751980129436,
,2010,35778.2487328682,,35.7948959086843,4.96208412120461,
,2010,35778.2487328682,,35.7948959086843,3.75539667900371,
,2010,35778.2487328682,,35.7948959086843,5.24935530277537,
,2010,35778.2487328682,,57.7400157290775,11.2751980129436,
,2010,35778.2487328682,,57.7400157290775,4.96208412120461,
,2010,35778.2487328682,,57.7400157290775,3.75539667900371,
,2010,35778.2487328682,,57.7400157290775,5.24935530277537,
,2010,825.735188857174,,78.8495856198825,11.2751980129436,
,2010,825.735188857174,,78.8495856198825,4.96208412120461,
,2010,825.735188857174,,78.8495856198825,3.75539667900371,
,2010,825.735188857174,,78.8495856198825,5.24935530277537,
,2010,825.735188857174,,31.6467020992516,11.2751980129436,
,2010,825.735188857174,,31.6467020992516,4.96208412120461,
,2010,825.735188857174,,31.6467020992516,3.75539667900371,
,2010,825.735188857174,,31.6467020992516,5.24935530277537,
,2010,825.735188857174,,35.7948959086843,11.2751980129436,
,2010,825.735188857174,,35.7948959086843,4.96208412120461,
,2010,825.735188857174,,35.7948959086843,3.75539667900371,
,2010,825.735188857174,,35.7948959086843,5.24935530277537,
,2010,825.735188857174,,57.7400157290775,11.2751980129436,
,2010,825.735188857174,,57.7400157290775,4.96208412120461,
,2010,825.735188857174,,57.7400157290775,3.75539667900371,
,2010,825.735188857174,,57.7400157290775,5.24935530277537,
,2010,1491.30888839804,,78.8495856198825,11.2751980129436,
,2010,1491.30888839804,,78.8495856198825,4.96208412120461,
,2010,1491.30888839804,,78.8495856198825,3.75539667900371,
,2010,1491.30888839804,,78.8495856198825,5.24935530277537,
,2010,1491.30888839804,,31.6467020992516,11.2751980129436,
,2010,1491.30888839804,,31.6467020992516,4.96208412120461,
,2010,1491.30888839804,,31.6467020992516,3.75539667900371,
,2010,1491.30888839804,,31.6467020992516,5.24935530277537,
,2010,1491.30888839804,,35.7948959086843,11.2751980129436,
,2010,1491.30888839804,,35.7948959086843,4.96208412120461,
,2010,1491.30888839804,,35.7948959086843,3.75539667900371,
,2010,1491.30888839804,,35.7948959086843,5.24935530277537,
,2010,1491.30888839804,,57.7400157290775,11.2751980129436,
,2010,1491.30888839804,,57.7400157290775,4.96208412120461,
,2010,1491.30888839804,,57.7400157290775,3.75539667900371,
,2010,1491.30888839804,,57.7400157290775,5.24935530277537,
,2010,5710.9010671794,,78.8495856198825,11.2751980129436,
,2010,5710.9010671794,,78.8495856198825,4.96208412120461,
,2010,5710.9010671794,,78.8495856198825,3.75539667900371,
,2010,5710.9010671794,,78.8495856198825,5.24935530277537,
,2010,5710.9010671794,,31.6467020992516,11.2751980129436,
,2010,5710.9010671794,,31.6467020992516,4.96208412120461,
,2010,5710.9010671794,,31.6467020992516,3.75539667900371,
,2010,5710.9010671794,,31.6467020992516,5.24935530277537,
,2010,5710.9010671794,,35.7948959086843,11.2751980129436,
,2010,5710.9010671794,,35.7948959086843,4.96208412120461,
,2010,5710.9010671794,,35.7948959086843,3.75539667900371,
,2010,5710.9010671794,,35.7948959086843,5.24935530277537,
,2010,5710.9010671794,,57.7400157290775,11.2751980129436,
,2010,5710.9010671794,,57.7400157290775,4.96208412120461,
,2010,5710.9010671794,,57.7400157290775,3.75539667900371,
,2010,5710.9010671794,,57.7400157290775,5.24935530277537,
,2011,38785.8817355705,,78.9755394009323,11.2239781423825,
,2011,38785.8817355705,,78.9755394009323,4.75336465974278,
,2011,38785.8817355705,,78.9755394009323,3.71113461577792,
,2011,38785.8817355705,,78.9755394009323,5.23026521149356,
,2011,38785.8817355705,,32.0804495525882,11.2239781423825,
,2011,38785.8817355705,,32.0804495525882,4.75336465974278,
,2011,38785.8817355705,,32.0804495525882,3.71113461577792,
,2011,38785.8817355705,,32.0804495525882,5.23026521149356,
,2011,38785.8817355705,,36.2446630908034,11.2239781423825,
,2011,38785.8817355705,,36.2446630908034,4.75336465974278,
,2011,38785.8817355705,,36.2446630908034,3.71113461577792,
,2011,38785.8817355705,,36.2446630908034,5.23026521149356,
,2011,38785.8817355705,,59.3267790525312,11.2239781423825,
,2011,38785.8817355705,,59.3267790525312,4.75336465974278,
,2011,38785.8817355705,,59.3267790525312,3.71113461577792,
,2011,38785.8817355705,,59.3267790525312,5.23026521149356,
,2011,869.718827485855,,78.9755394009323,11.2239781423825,
,2011,869.718827485855,,78.9755394009323,4.75336465974278,
,2011,869.718827485855,,78.9755394009323,3.71113461577792,
,2011,869.718827485855,,78.9755394009323,5.23026521149356,
,2011,869.718827485855,,32.0804495525882,11.2239781423825,
,2011,869.718827485855,,32.0804495525882,4.75336465974278,
,2011,869.718827485855,,32.0804495525882,3.71113461577792,
,2011,869.718827485855,,32.0804495525882,5.23026521149356,
