country,iso3,year,indicator_abbr,dimension,subgroup,order,estimate,population,data_source,gdp_pc_usd,gini,urban_pct,health_exp_pct
Angola,AGO,2015,smoked,wealth,Highest,5,4.0873463630868425,4963.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2015,smoked,wealth,Lowest,1,8.072327827983795,3209.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2015,smoked,wealth,Middle,3,5.566658010906258,3851.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2015,smoked,wealth,Second,2,8.013075560802834,3388.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,education,Higher,4,3.101218686526744,1477.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,education,No education,1,3.964740973312402,3185.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,education,Primary,2,4.617767653758542,5268.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,education,Secondary,3,3.614944399240575,11061.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,residence,Rural,1,4.8045904590459045,6666.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,residence,Urban,2,3.447357766143107,14325.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,wealth,Fourth,4,3.072081531809759,4857.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,wealth,Highest,5,3.229699034639409,5283.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,wealth,Lowest,1,6.202955818294959,3214.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,wealth,Middle,3,3.8170239282153537,4012.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Angola,AGO,2023,smoked,wealth,Second,2,3.944521115097985,3623.0,DHS,2665.87444776753,51.3,70.6551379036435,2.54692864
Armenia,ARM,2000,smoked,education,Higher,4,63.400000000000006,338.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2000,smoked,education,Secondary,3,65.5,1248.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2000,smoked,residence,Rural,1,59.4,665.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2000,smoked,residence,Urban,2,68.9,927.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2000,smoked,wealth,Fourth,4,68.2,318.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2000,smoked,wealth,Highest,5,65.2,343.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2000,smoked,wealth,Lowest,1,61.4,280.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2000,smoked,wealth,Middle,3,66.7,331.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2000,smoked,wealth,Second,2,62.60000000000001,321.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2005,smoked,education,Higher,4,12.88787255909558,1946.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2005,smoked,education,Secondary,3,12.11529138303171,6023.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2005,smoked,residence,Rural,1,11.317343427391606,2906.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2005,smoked,residence,Urban,2,12.851028000783238,5107.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2005,smoked,wealth,Fourth,4,11.854701360141927,1691.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2005,smoked,wealth,Highest,5,12.988372093023257,1720.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2005,smoked,wealth,Lowest,1,12.358736842105264,1425.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2005,smoked,wealth,Middle,3,13.12707182320442,1629.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2005,smoked,wealth,Second,2,10.910852713178295,1548.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,education,Higher,4,13.432210626185958,4216.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,education,Primary,2,20.589781021897807,548.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,education,Secondary,3,15.402410518626732,2738.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,residence,Rural,1,12.76227004512322,2881.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,residence,Urban,2,15.863264864864869,4625.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,wealth,Fourth,4,15.967523680649526,1478.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,wealth,Highest,5,16.69148936170213,1598.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,wealth,Lowest,1,12.6472016183412,1483.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,wealth,Middle,3,14.774500344589937,1451.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2010,smoked,wealth,Second,2,13.183088235294118,1496.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,education,Higher,4,16.925776467921107,4411.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,education,Primary,2,26.17142857142857,756.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,education,Secondary,3,22.25370871683812,3694.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,residence,Rural,1,19.41701312910284,3656.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,residence,Urban,2,20.313595397890698,5215.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,wealth,Fourth,4,19.632865623313545,1853.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,wealth,Highest,5,21.081940840685004,1927.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,wealth,Lowest,1,20.639588528678303,1604.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,wealth,Middle,3,19.56476247745039,1663.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Armenia,ARM,2016,smoked,wealth,Second,2,18.760164383561644,1825.0,DHS,8556.21406956719,27.4,65.8113671449901,9.32119179
Azerbaijan,AZE,2006,smoked,education,Higher,4,41.5,428.0,DHS,7283.8499076179,,58.573795837717,4.27113533
Azerbaijan,AZE,2006,smoked,education,Secondary,3,51.0,1795.0,DHS,7283.8499076179,,58.573795837717,4.27113533
Azerbaijan,AZE,2006,smoked,residence,Rural,1,48.8,971.0,DHS,7283.8499076179,,58.573795837717,4.27113533
