country,iso3,year,indicator_abbr,dimension,subgroup,order,estimate,population,data_source
AZE,AZE,2022,smoked,sex,SEX_BTSX,1,19.3,,GHO
SLE,SLE,2025,smoked,sex,SEX_FMLE,1,5.0,,GHO
TON,TON,2025,smoked,sex,SEX_FMLE,1,16.5,,GHO
KIR,KIR,2010,smoked,sex,SEX_FMLE,1,38.9,,GHO
PER,PER,2015,smoked,sex,SEX_FMLE,1,4.8,,GHO
HND,HND,2020,smoked,sex,SEX_MLE,1,23.8,,GHO
KOR,KOR,2023,smoked,sex,SEX_BTSX,1,19.0,,GHO
BRN,BRN,2030,smoked,sex,SEX_FMLE,1,1.7,,GHO
LUX,LUX,2023,smoked,sex,SEX_FMLE,1,23.5,,GHO
DZA,DZA,2020,smoked,sex,SEX_FMLE,1,0.7,,GHO
ZWE,ZWE,2023,smoked,sex,SEX_FMLE,1,0.8,,GHO
MLT,MLT,2015,smoked,sex,SEX_MLE,1,30.7,,GHO
TCD,TCD,2025,smoked,sex,SEX_FMLE,1,1.8,,GHO
ZAF,ZAF,2020,smoked,sex,SEX_FMLE,1,8.8,,GHO
COD,COD,2030,smoked,sex,SEX_FMLE,1,1.6,,GHO
LAO,LAO,2023,smoked,sex,SEX_BTSX,1,24.2,,GHO
LTU,LTU,2022,smoked,sex,SEX_BTSX,1,28.8,,GHO
SRB,SRB,2024,smoked,sex,SEX_BTSX,1,39.7,,GHO
UGA,UGA,2022,smoked,sex,SEX_BTSX,1,6.7,,GHO
UZB,UZB,2020,smoked,sex,SEX_BTSX,1,11.0,,GHO
PAK,PAK,2015,smoked,sex,SEX_BTSX,1,15.8,,GHO
MRT,MRT,2015,smoked,sex,SEX_MLE,1,18.6,,GHO
SLB,SLB,2024,smoked,sex,SEX_MLE,1,56.2,,GHO
OMN,OMN,2024,smoked,sex,SEX_BTSX,1,7.8,,GHO
ARE,ARE,2024,smoked,sex,SEX_BTSX,1,9.0,,GHO
MOZ,MOZ,2023,smoked,sex,SEX_MLE,1,15.6,,GHO
GHA,GHA,2010,smoked,sex,SEX_MLE,1,7.5,,GHO
PLW,PLW,2020,smoked,sex,SEX_BTSX,1,18.5,,GHO
BHS,BHS,2022,smoked,sex,SEX_BTSX,1,13.3,,GHO
BRA,BRA,2030,smoked,sex,SEX_MLE,1,13.2,,GHO
SLB,SLB,2030,smoked,sex,SEX_BTSX,1,37.8,,GHO
CZE,CZE,2030,smoked,sex,SEX_FMLE,1,23.6,,GHO
AND,AND,2025,smoked,sex,SEX_BTSX,1,35.6,,GHO
VUT,VUT,2023,smoked,sex,SEX_BTSX,1,24.8,,GHO
TZA,TZA,2025,smoked,sex,SEX_MLE,1,10.4,,GHO
GEO,GEO,2010,smoked,sex,SEX_BTSX,1,32.1,,GHO
LCA,LCA,2010,smoked,sex,SEX_BTSX,1,16.9,,GHO
GAB,GAB,2030,smoked,sex,SEX_MLE,1,19.6,,GHO
SVK,SVK,2023,smoked,sex,SEX_MLE,1,33.4,,GHO
KIR,KIR,2015,smoked,sex,SEX_FMLE,1,33.3,,GHO
NRU,NRU,2023,smoked,sex,SEX_MLE,1,27.8,,GHO
SLE,SLE,2022,smoked,sex,SEX_MLE,1,19.2,,GHO
GMB,GMB,2030,smoked,sex,SEX_BTSX,1,9.3,,GHO
ITA,ITA,2022,smoked,sex,SEX_MLE,1,26.2,,GHO
PAK,PAK,2022,smoked,sex,SEX_MLE,1,23.7,,GHO
MNE,MNE,2024,smoked,sex,SEX_FMLE,1,34.4,,GHO
HUN,HUN,2030,smoked,sex,SEX_FMLE,1,28.5,,GHO
QAT,QAT,2022,smoked,sex,SEX_FMLE,1,3.4,,GHO
BEN,BEN,2023,smoked,sex,SEX_FMLE,1,0.8,,GHO
ISL,ISL,2022,smoked,sex,SEX_FMLE,1,9.9,,GHO
THA,THA,2023,smoked,sex,SEX_BTSX,1,18.1,,GHO
JPN,JPN,2023,smoked,sex,SEX_FMLE,1,9.0,,GHO
DZA,DZA,2023,smoked,sex,SEX_FMLE,1,0.7,,GHO
ARM,ARM,2023,smoked,sex,SEX_FMLE,1,1.7,,GHO
SGP,SGP,2023,smoked,sex,SEX_BTSX,1,13.9,,GHO
CIV,CIV,2025,smoked,sex,SEX_FMLE,1,1.0,,GHO
CZE,CZE,2030,smoked,sex,SEX_MLE,1,30.4,,GHO
MHL,MHL,2010,smoked,sex,SEX_BTSX,1,22.4,,GHO
PAK,PAK,2024,smoked,sex,SEX_FMLE,1,2.8,,GHO
PSE,PSE,2015,smoked,sex,SEX_MLE,1,48.4,,GHO
BEL,BEL,2020,smoked,sex,SEX_BTSX,1,24.5,,GHO
BEL,BEL,2030,smoked,sex,SEX_MLE,1,24.5,,GHO
URY,URY,2023,smoked,sex,SEX_FMLE,1,17.0,,GHO
MKD,MKD,2023,smoked,sex,SEX_FMLE,1,35.5,,GHO
MEX,MEX,2025,smoked,sex,SEX_MLE,1,23.7,,GHO
GNB,GNB,2025,smoked,sex,SEX_MLE,1,15.3,,GHO
NER,NER,2015,smoked,sex,SEX_BTSX,1,6.3,,GHO
PNG,PNG,2030,smoked,sex,SEX_BTSX,1,36.9,,GHO
COK,COK,2022,smoked,sex,SEX_MLE,1,33.3,,GHO
PRY,PRY,2025,smoked,sex,SEX_BTSX,1,6.0,,GHO
PRT,PRT,2015,smoked,sex,SEX_MLE,1,33.9,,GHO
HTI,HTI,2030,smoked,sex,SEX_MLE,1,12.9,,GHO
LKA,LKA,2025,smoked,sex,SEX_BTSX,1,13.2,,GHO
LKA,LKA,2010,smoked,sex,SEX_FMLE,1,0.9,,GHO
NOR,NOR,2030,smoked,sex,SEX_FMLE,1,8.3,,GHO
RUS,RUS,2020,smoked,sex,SEX_FMLE,1,14.1,,GHO
SLV,SLV,2020,smoked,sex,SEX_MLE,1,15.7,,GHO
CIV,CIV,2030,smoked,sex,SEX_BTSX,1,5.7,,GHO
BIH,BIH,2015,smoked,sex,SEX_FMLE,1,32.0,,GHO
KIR,KIR,2023,smoked,sex,SEX_MLE,1,51.1,,GHO
LSO,LSO,2010,smoked,sex,SEX_FMLE,1,0.7,,GHO
SGP,SGP,2030,smoked,sex,SEX_MLE,1,20.7,,GHO
BFA,BFA,2030,smoked,sex,SEX_BTSX,1,6.5,,GHO
VUT,VUT,2023,smoked,sex,SEX_MLE,1,40.9,,GHO
AFG,AFG,2030,smoked,sex,SEX_BTSX,1,7.0,,GHO
MKD,MKD,2025,smoked,sex,SEX_MLE,1,43.0,,GHO
KWT,KWT,2022,smoked,sex,SEX_MLE,1,36.2,,GHO
BOL,BOL,2010,smoked,sex,SEX_MLE,1,26.6,,GHO
DZA,DZA,2024,smoked,sex,SEX_MLE,1,34.1,,GHO
TUR,TUR,2030,smoked,sex,SEX_MLE,1,40.2,,GHO
MRT,MRT,2010,smoked,sex,SEX_BTSX,1,11.6,,GHO
BEN,BEN,2020,smoked,sex,SEX_FMLE,1,0.8,,GHO
GTM,GTM,2030,smoked,sex,SEX_BTSX,1,10.8,,GHO
BOL,BOL,2015,smoked,sex,SEX_MLE,1,24.2,,GHO
KAZ,KAZ,2023,smoked,sex,SEX_BTSX,1,20.7,,GHO
PNG,PNG,2010,smoked,sex,SEX_MLE,1,64.2,,GHO
MLT,MLT,2022,smoked,sex,SEX_MLE,1,27.0,,GHO
CIV,CIV,2023,smoked,sex,SEX_FMLE,1,1.1,,GHO
ECU,ECU,2022,smoked,sex,SEX_FMLE,1,2.7,,GHO
KOR,KOR,2025,smoked,sex,SEX_MLE,1,30.6,,GHO
CAN,CAN,2025,smoked,sex,SEX_BTSX,1,10.7,,GHO
IND,IND,2015,smoked,sex,SEX_MLE,1,22.2,,GHO
SLV,SLV,2025,smoked,sex,SEX_FMLE,1,2.1,,GHO
LTU,LTU,2030,smoked,sex,SEX_FMLE,1,19.4,,GHO
AUS,AUS,2030,smoked,sex,SEX_BTSX,1,9.6,,GHO
COM,COM,2023,smoked,sex,SEX_BTSX,1,7.1,,GHO
ZMB,ZMB,2030,smoked,sex,SEX_FMLE,1,2.2,,GHO
KHM,KHM,2024,smoked,sex,SEX_MLE,1,28.7,,GHO
ARM,ARM,2010,smoked,sex,SEX_FMLE,1,2.0,,GHO
CUB,CUB,2025,smoked,sex,SEX_BTSX,1,15.6,,GHO
CZE,CZE,2023,smoked,sex,SEX_FMLE,1,24.5,,GHO
MMR,MMR,2024,smoked,sex,SEX_MLE,1,43.8,,GHO
IRN,IRN,2022,smoked,sex,SEX_FMLE,1,0.6,,GHO
FIN,FIN,2020,smoked,sex,SEX_MLE,1,20.3,,GHO
COK,COK,2025,smoked,sex,SEX_BTSX,1,28.0,,GHO
HND,HND,2020,smoked,sex,SEX_FMLE,1,1.8,,GHO
SEN,SEN,2010,smoked,sex,SEX_MLE,1,17.0,,GHO
GRC,GRC,2024,smoked,sex,SEX_MLE,1,34.1,,GHO
FJI,FJI,2020,smoked,sex,SEX_MLE,1,41.1,,GHO
AND,AND,2024,smoked,sex,SEX_MLE,1,34.6,,GHO
URY,URY,2015,smoked,sex,SEX_FMLE,1,20.4,,GHO
PSE,PSE,2010,smoked,sex,SEX_FMLE,1,5.7,,GHO
CYP,CYP,2020,smoked,sex,SEX_FMLE,1,19.2,,GHO
BGD,BGD,2022,smoked,sex,SEX_BTSX,1,17.6,,GHO
ISL,ISL,2010,smoked,sex,SEX_BTSX,1,18.6,,GHO
DZA,DZA,2030,smoked,sex,SEX_BTSX,1,17.9,,GHO
IDN,IDN,2025,smoked,sex,SEX_BTSX,1,30.2,,GHO
POL,POL,2030,smoked,sex,SEX_FMLE,1,15.9,,GHO
SLV,SLV,2030,smoked,sex,SEX_MLE,1,12.1,,GHO
TUV,TUV,2020,smoked,sex,SEX_FMLE,1,20.1,,GHO
GHA,GHA,2020,smoked,sex,SEX_BTSX,1,2.8,,GHO
BWA,BWA,2015,smoked,sex,SEX_FMLE,1,5.3,,GHO
ESP,ESP,2015,smoked,sex,SEX_BTSX,1,30.0,,GHO
BRN,BRN,2010,smoked,sex,SEX_FMLE,1,3.5,,GHO
PAN,PAN,2022,smoked,sex,SEX_FMLE,1,2.0,,GHO
NZL,NZL,2024,smoked,sex,SEX_MLE,1,10.3,,GHO
SLV,SLV,2020,smoked,sex,SEX_BTSX,1,9.0,,GHO
ISR,ISR,2023,smoked,sex,SEX_BTSX,1,21.5,,GHO
HRV,HRV,2030,smoked,sex,SEX_FMLE,1,35.4,,GHO
GMB,GMB,2020,smoked,sex,SEX_BTSX,1,11.6,,GHO
CHE,CHE,2023,smoked,sex,SEX_FMLE,1,22.4,,GHO
BWA,BWA,2020,smoked,sex,SEX_BTSX,1,15.6,,GHO
CPV,CPV,2015,smoked,sex,SEX_FMLE,1,3.2,,GHO
CMR,CMR,2020,smoked,sex,SEX_MLE,1,11.7,,GHO
PHL,PHL,2030,smoked,sex,SEX_MLE,1,31.6,,GHO
LBY,LBY,2025,smoked,sex,SEX_MLE,1,44.6,,GHO
BIH,BIH,2022,smoked,sex,SEX_BTSX,1,37.6,,GHO
TCD,TCD,2023,smoked,sex,SEX_FMLE,1,1.8,,GHO
TON,TON,2015,smoked,sex,SEX_BTSX,1,32.3,,GHO
TKM,TKM,2010,smoked,sex,SEX_FMLE,1,0.5,,GHO
BLZ,BLZ,2015,smoked,sex,SEX_BTSX,1,10.1,,GHO
HRV,HRV,2015,smoked,sex,SEX_MLE,1,37.9,,GHO
ISR,ISR,2010,smoked,sex,SEX_BTSX,1,25.9,,GHO
BEN,BEN,2024,smoked,sex,SEX_BTSX,1,5.0,,GHO
MDG,MDG,2023,smoked,sex,SEX_MLE,1,31.4,,GHO
SYC,SYC,2020,smoked,sex,SEX_FMLE,1,4.9,,GHO
BHS,BHS,2030,smoked,sex,SEX_MLE,1,27.7,,GHO
GMB,GMB,2024,smoked,sex,SEX_FMLE,1,0.5,,GHO
PRY,PRY,2023,smoked,sex,SEX_BTSX,1,6.8,,GHO
MWI,MWI,2015,smoked,sex,SEX_FMLE,1,2.9,,GHO
MAR,MAR,2024,smoked,sex,SEX_BTSX,1,12.5,,GHO
BFA,BFA,2010,smoked,sex,SEX_MLE,1,20.9,,GHO
VUT,VUT,2024,smoked,sex,SEX_FMLE,1,8.9,,GHO
MEX,MEX,2024,smoked,sex,SEX_MLE,1,23.9,,GHO
GUY,GUY,2030,smoked,sex,SEX_MLE,1,17.1,,GHO
TKM,TKM,2024,smoked,sex,SEX_MLE,1,9.5,,GHO
COL,COL,2020,smoked,sex,SEX_MLE,1,12.9,,GHO
MLT,MLT,2024,smoked,sex,SEX_BTSX,1,24.6,,GHO
ALB,ALB,2030,smoked,sex,SEX_BTSX,1,19.2,,GHO
KOR,KOR,2030,smoked,sex,SEX_MLE,1,26.5,,GHO
PHL,PHL,2023,smoked,sex,SEX_BTSX,1,20.3,,GHO
HND,HND,2023,smoked,sex,SEX_MLE,1,23.0,,GHO
IRN,IRN,2015,smoked,sex,SEX_MLE,1,19.9,,GHO
CRI,CRI,2022,smoked,sex,SEX_BTSX,1,8.4,,GHO
IDN,IDN,2023,smoked,sex,SEX_MLE,1,59.3,,GHO
BGD,BGD,2020,smoked,sex,SEX_MLE,1,36.3,,GHO
CAN,CAN,2010,smoked,sex,SEX_BTSX,1,19.3,,GHO
KOR,KOR,2025,smoked,sex,SEX_FMLE,1,5.6,,GHO
MMR,MMR,2030,smoked,sex,SEX_MLE,1,42.3,,GHO
ITA,ITA,2024,smoked,sex,SEX_MLE,1,25.6,,GHO
BHR,BHR,2024,smoked,sex,SEX_BTSX,1,15.4,,GHO
LKA,LKA,2022,smoked,sex,SEX_FMLE,1,0.5,,GHO
SYC,SYC,2024,smoked,sex,SEX_BTSX,1,17.3,,GHO
COL,COL,2020,smoked,sex,SEX_FMLE,1,4.6,,GHO
ISL,ISL,2030,smoked,sex,SEX_BTSX,1,6.8,,GHO
AND,AND,2030,smoked,sex,SEX_FMLE,1,38.9,,GHO
NZL,NZL,2024,smoked,sex,SEX_BTSX,1,9.3,,GHO
FJI,FJI,2023,smoked,sex,SEX_FMLE,1,12.5,,GHO
DEU,DEU,2024,smoked,sex,SEX_BTSX,1,22.0,,GHO
GEO,GEO,2025,smoked,sex,SEX_MLE,1,53.3,,GHO
MHL,MHL,2030,smoked,sex,SEX_FMLE,1,3.7,,GHO
IND,IND,2023,smoked,sex,SEX_BTSX,1,9.5,,GHO
LAO,LAO,2010,smoked,sex,SEX_BTSX,1,34.1,,GHO
PHL,PHL,2020,smoked,sex,SEX_MLE,1,38.3,,GHO
SLE,SLE,2022,smoked,sex,SEX_FMLE,1,5.6,,GHO
MLT,MLT,2030,smoked,sex,SEX_MLE,1,23.4,,GHO
SVK,SVK,2023,smoked,sex,SEX_FMLE,1,25.7,,GHO
BHR,BHR,2023,smoked,sex,SEX_MLE,1,25.1,,GHO
BEN,BEN,2023,smoked,sex,SEX_BTSX,1,5.1,,GHO
TUN,TUN,2015,smoked,sex,SEX_MLE,1,48.9,,GHO
CUB,CUB,2022,smoked,sex,SEX_FMLE,1,9.6,,GHO
IRQ,IRQ,2030,smoked,sex,SEX_FMLE,1,1.4,,GHO
COK,COK,2024,smoked,sex,SEX_MLE,1,32.4,,GHO
FIN,FIN,2030,smoked,sex,SEX_BTSX,1,14.4,,GHO
URY,URY,2030,smoked,sex,SEX_MLE,1,19.0,,GHO
AND,AND,2024,smoked,sex,SEX_FMLE,1,36.4,,GHO
KAZ,KAZ,2024,smoked,sex,SEX_FMLE,1,6.8,,GHO
PNG,PNG,2010,smoked,sex,SEX_BTSX,1,47.2,,GHO
AZE,AZE,2020,smoked,sex,SEX_MLE,1,40.3,,GHO
LSO,LSO,2020,smoked,sex,SEX_MLE,1,43.4,,GHO
PLW,PLW,2030,smoked,sex,SEX_MLE,1,26.0,,GHO
KEN,KEN,2020,smoked,sex,SEX_FMLE,1,1.2,,GHO
BRA,BRA,2024,smoked,sex,SEX_FMLE,1,8.4,,GHO
GHA,GHA,2010,smoked,sex,SEX_BTSX,1,4.1,,GHO
MLT,MLT,2023,smoked,sex,SEX_MLE,1,26.5,,GHO
KHM,KHM,2025,smoked,sex,SEX_FMLE,1,1.8,,GHO
TZA,TZA,2024,smoked,sex,SEX_BTSX,1,6.2,,GHO
IND,IND,2015,smoked,sex,SEX_BTSX,1,12.3,,GHO
MAR,MAR,2025,smoked,sex,SEX_MLE,1,23.5,,GHO
PER,PER,2023,smoked,sex,SEX_MLE,1,22.7,,GHO
GTM,GTM,2015,smoked,sex,SEX_MLE,1,22.3,,GHO
SYC,SYC,2023,smoked,sex,SEX_FMLE,1,4.4,,GHO
URY,URY,2010,smoked,sex,SEX_MLE,1,31.3,,GHO
NOR,NOR,2025,smoked,sex,SEX_BTSX,1,12.3,,GHO
NRU,NRU,2010,smoked,sex,SEX_BTSX,1,46.1,,GHO
PLW,PLW,2022,smoked,sex,SEX_BTSX,1,18.1,,GHO
QAT,QAT,2023,smoked,sex,SEX_BTSX,1,11.9,,GHO
DZA,DZA,2023,smoked,sex,SEX_BTSX,1,17.4,,GHO
PAK,PAK,2025,smoked,sex,SEX_FMLE,1,2.7,,GHO
HND,HND,2015,smoked,sex,SEX_MLE,1,25.1,,GHO
MHL,MHL,2025,smoked,sex,SEX_FMLE,1,4.0,,GHO
TUN,TUN,2025,smoked,sex,SEX_BTSX,1,23.7,,GHO
BLR,BLR,2020,smoked,sex,SEX_BTSX,1,26.4,,GHO
NER,NER,2022,smoked,sex,SEX_MLE,1,11.6,,GHO
IRL,IRL,2010,smoked,sex,SEX_MLE,1,28.7,,GHO
TGO,TGO,2022,smoked,sex,SEX_FMLE,1,0.5,,GHO
WSM,WSM,2010,smoked,sex,SEX_BTSX,1,30.7,,GHO
BLZ,BLZ,2020,smoked,sex,SEX_MLE,1,16.2,,GHO
BGR,BGR,2030,smoked,sex,SEX_MLE,1,37.7,,GHO
VUT,VUT,2023,smoked,sex,SEX_FMLE,1,8.7,,GHO
MMR,MMR,2023,smoked,sex,SEX_BTSX,1,24.7,,GHO
NLD,NLD,2020,smoked,sex,SEX_FMLE,1,19.8,,GHO
TCD,TCD,2030,smoked,sex,SEX_MLE,1,12.1,,GHO
LBR,LBR,2025,smoked,sex,SEX_FMLE,1,1.2,,GHO
PAN,PAN,2024,smoked,sex,SEX_BTSX,1,4.5,,GHO
HTI,HTI,2023,smoked,sex,SEX_FMLE,1,2.5,,GHO
IRN,IRN,2023,smoked,sex,SEX_FMLE,1,0.5,,GHO
MRT,MRT,2022,smoked,sex,SEX_MLE,1,16.6,,GHO
MNG,MNG,2025,smoked,sex,SEX_FMLE,1,6.5,,GHO
LCA,LCA,2024,smoked,sex,SEX_FMLE,1,2.9,,GHO
BLZ,BLZ,2025,smoked,sex,SEX_MLE,1,14.8,,GHO
JPN,JPN,2022,smoked,sex,SEX_MLE,1,27.8,,GHO
JAM,JAM,2022,smoked,sex,SEX_FMLE,1,4.7,,GHO
MDG,MDG,2022,smoked,sex,SEX_MLE,1,31.4,,GHO
FRA,FRA,2010,smoked,sex,SEX_FMLE,1,30.5,,GHO
BTN,BTN,2024,smoked,sex,SEX_BTSX,1,7.3,,GHO
SRB,SRB,2030,smoked,sex,SEX_BTSX,1,39.7,,GHO
ARG,ARG,2022,smoked,sex,SEX_MLE,1,28.1,,GHO
TUR,TUR,2030,smoked,sex,SEX_FMLE,1,21.9,,GHO
PRT,PRT,2020,smoked,sex,SEX_FMLE,1,20.9,,GHO
HRV,HRV,2025,smoked,sex,SEX_FMLE,1,33.9,,GHO
MNE,MNE,2020,smoked,sex,SEX_MLE,1,39.8,,GHO
BEN,BEN,2023,smoked,sex,SEX_MLE,1,9.5,,GHO
ETH,ETH,2025,smoked,sex,SEX_FMLE,1,1.0,,GHO
BRN,BRN,2022,smoked,sex,SEX_MLE,1,27.2,,GHO
HRV,HRV,2020,smoked,sex,SEX_MLE,1,36.4,,GHO
COG,COG,2025,smoked,sex,SEX_FMLE,1,1.2,,GHO
WSM,WSM,2022,smoked,sex,SEX_MLE,1,33.8,,GHO
ARM,ARM,2030,smoked,sex,SEX_BTSX,1,24.5,,GHO
AUT,AUT,2022,smoked,sex,SEX_MLE,1,25.7,,GHO
TZA,TZA,2010,smoked,sex,SEX_BTSX,1,14.4,,GHO
NGA,NGA,2010,smoked,sex,SEX_MLE,1,9.0,,GHO
MYS,MYS,2010,smoked,sex,SEX_BTSX,1,21.6,,GHO
LBY,LBY,2015,smoked,sex,SEX_BTSX,1,25.7,,GHO
VNM,VNM,2025,smoked,sex,SEX_MLE,1,39.9,,GHO
BLZ,BLZ,2023,smoked,sex,SEX_BTSX,1,8.7,,GHO
IDN,IDN,2015,smoked,sex,SEX_MLE,1,59.7,,GHO
ZWE,ZWE,2022,smoked,sex,SEX_FMLE,1,0.8,,GHO
KWT,KWT,2022,smoked,sex,SEX_BTSX,1,19.3,,GHO
MDV,MDV,2023,smoked,sex,SEX_MLE,1,42.4,,GHO
MEX,MEX,2024,smoked,sex,SEX_FMLE,1,7.6,,GHO
BEN,BEN,2024,smoked,sex,SEX_FMLE,1,0.7,,GHO
SYC,SYC,2020,smoked,sex,SEX_BTSX,1,18.6,,GHO
PAN,PAN,2025,smoked,sex,SEX_BTSX,1,4.3,,GHO
PRK,PRK,2025,smoked,sex,SEX_MLE,1,30.4,,GHO
CAN,CAN,2023,smoked,sex,SEX_FMLE,1,9.1,,GHO
UGA,UGA,2020,smoked,sex,SEX_FMLE,1,2.4,,GHO
MNE,MNE,2030,smoked,sex,SEX_MLE,1,40.2,,GHO
KIR,KIR,2030,smoked,sex,SEX_MLE,1,44.5,,GHO
GUY,GUY,2024,smoked,sex,SEX_FMLE,1,2.2,,GHO
BRA,BRA,2030,smoked,sex,SEX_FMLE,1,7.0,,GHO
ESP,ESP,2024,smoked,sex,SEX_FMLE,1,26.2,,GHO
ZWE,ZWE,2020,smoked,sex,SEX_BTSX,1,11.0,,GHO
ITA,ITA,2024,smoked,sex,SEX_FMLE,1,19.3,,GHO
JOR,JOR,2030,smoked,sex,SEX_BTSX,1,34.4,,GHO
ARG,ARG,2015,smoked,sex,SEX_MLE,1,31.2,,GHO
CHL,CHL,2025,smoked,sex,SEX_BTSX,1,26.0,,GHO
FIN,FIN,2024,smoked,sex,SEX_BTSX,1,16.5,,GHO
ETH,ETH,2020,smoked,sex,SEX_FMLE,1,0.9,,GHO
CPV,CPV,2024,smoked,sex,SEX_BTSX,1,7.3,,GHO
GEO,GEO,2015,smoked,sex,SEX_FMLE,1,7.1,,GHO
BTN,BTN,2020,smoked,sex,SEX_MLE,1,12.2,,GHO
RWA,RWA,2024,smoked,sex,SEX_FMLE,1,4.0,,GHO
COL,COL,2010,smoked,sex,SEX_BTSX,1,11.2,,GHO
SRB,SRB,2023,smoked,sex,SEX_BTSX,1,39.6,,GHO
LTU,LTU,2023,smoked,sex,SEX_MLE,1,37.8,,GHO
MWI,MWI,2020,smoked,sex,SEX_BTSX,1,9.3,,GHO
HUN,HUN,2010,smoked,sex,SEX_FMLE,1,30.2,,GHO
GEO,GEO,2022,smoked,sex,SEX_BTSX,1,31.2,,GHO
SGP,SGP,2025,smoked,sex,SEX_FMLE,1,5.6,,GHO
SRB,SRB,2025,smoked,sex,SEX_MLE,1,38.8,,GHO
UZB,UZB,2024,smoked,sex,SEX_BTSX,1,10.1,,GHO
NGA,NGA,2025,smoked,sex,SEX_FMLE,1,0.3,,GHO
TZA,TZA,2030,smoked,sex,SEX_MLE,1,7.6,,GHO
STP,STP,2015,smoked,sex,SEX_FMLE,1,1.2,,GHO
FJI,FJI,2015,smoked,sex,SEX_MLE,1,43.7,,GHO
FIN,FIN,2022,smoked,sex,SEX_BTSX,1,17.4,,GHO
GTM,GTM,2023,smoked,sex,SEX_MLE,1,21.0,,GHO
THA,THA,2024,smoked,sex,SEX_FMLE,1,1.3,,GHO
CPV,CPV,2023,smoked,sex,SEX_FMLE,1,2.7,,GHO
ROU,ROU,2022,smoked,sex,SEX_BTSX,1,29.4,,GHO
MDG,MDG,2022,smoked,sex,SEX_FMLE,1,1.3,,GHO
PNG,PNG,2023,smoked,sex,SEX_FMLE,1,25.6,,GHO
GHA,GHA,2025,smoked,sex,SEX_FMLE,1,0.5,,GHO
SAU,SAU,2024,smoked,sex,SEX_FMLE,1,3.3,,GHO
ARE,ARE,2022,smoked,sex,SEX_BTSX,1,9.4,,GHO
IRN,IRN,2023,smoked,sex,SEX_MLE,1,15.9,,GHO
MUS,MUS,2023,smoked,sex,SEX_FMLE,1,2.5,,GHO
BFA,BFA,2010,smoked,sex,SEX_BTSX,1,12.6,,GHO
MLT,MLT,2010,smoked,sex,SEX_BTSX,1,28.7,,GHO
MLI,MLI,2015,smoked,sex,SEX_MLE,1,15.0,,GHO
DNK,DNK,2023,smoked,sex,SEX_FMLE,1,15.5,,GHO
ROU,ROU,2025,smoked,sex,SEX_FMLE,1,19.4,,GHO
EGY,EGY,2025,smoked,sex,SEX_BTSX,1,25.4,,GHO
IRL,IRL,2010,smoked,sex,SEX_FMLE,1,25.4,,GHO
ISL,ISL,2015,smoked,sex,SEX_BTSX,1,14.4,,GHO
CYP,CYP,2010,smoked,sex,SEX_BTSX,1,36.4,,GHO
NER,NER,2025,smoked,sex,SEX_FMLE,1,0.6,,GHO
DEU,DEU,2025,smoked,sex,SEX_FMLE,1,19.3,,GHO
ZWE,ZWE,2010,smoked,sex,SEX_BTSX,1,14.6,,GHO
UZB,UZB,2010,smoked,sex,SEX_FMLE,1,1.1,,GHO
BDI,BDI,2022,smoked,sex,SEX_FMLE,1,2.0,,GHO
ZWE,ZWE,2025,smoked,sex,SEX_FMLE,1,0.7,,GHO
GTM,GTM,2030,smoked,sex,SEX_MLE,1,20.0,,GHO
GMB,GMB,2025,smoked,sex,SEX_BTSX,1,10.4,,GHO
MAR,MAR,2024,smoked,sex,SEX_FMLE,1,1.2,,GHO
MLI,MLI,2022,smoked,sex,SEX_BTSX,1,6.5,,GHO
COG,COG,2025,smoked,sex,SEX_BTSX,1,15.9,,GHO
AUS,AUS,2023,smoked,sex,SEX_MLE,1,13.7,,GHO
ESP,ESP,2024,smoked,sex,SEX_MLE,1,28.9,,GHO
FIN,FIN,2010,smoked,sex,SEX_BTSX,1,22.9,,GHO
VUT,VUT,2022,smoked,sex,SEX_BTSX,1,25.0,,GHO
FJI,FJI,2024,smoked,sex,SEX_BTSX,1,25.8,,GHO
TZA,TZA,2030,smoked,sex,SEX_FMLE,1,1.1,,GHO
ETH,ETH,2030,smoked,sex,SEX_FMLE,1,1.1,,GHO
KOR,KOR,2024,smoked,sex,SEX_FMLE,1,5.6,,GHO
DZA,DZA,2024,smoked,sex,SEX_FMLE,1,0.6,,GHO
IRL,IRL,2025,smoked,sex,SEX_BTSX,1,17.7,,GHO
BOL,BOL,2030,smoked,sex,SEX_FMLE,1,2.6,,GHO
BDI,BDI,2010,smoked,sex,SEX_MLE,1,20.2,,GHO
RUS,RUS,2030,smoked,sex,SEX_FMLE,1,14.6,,GHO
BLZ,BLZ,2010,smoked,sex,SEX_FMLE,1,2.5,,GHO
RUS,RUS,2025,smoked,sex,SEX_MLE,1,34.7,,GHO
CHE,CHE,2015,smoked,sex,SEX_MLE,1,28.2,,GHO
BEN,BEN,2025,smoked,sex,SEX_FMLE,1,0.7,,GHO
URY,URY,2022,smoked,sex,SEX_FMLE,1,17.3,,GHO
MDG,MDG,2015,smoked,sex,SEX_BTSX,1,17.6,,GHO
KHM,KHM,2025,smoked,sex,SEX_BTSX,1,14.8,,GHO
BFA,BFA,2015,smoked,sex,SEX_FMLE,1,3.5,,GHO
USA,USA,2020,smoked,sex,SEX_FMLE,1,13.5,,GHO
PRK,PRK,2023,smoked,sex,SEX_FMLE,1,0.0,,GHO
