country,iso3,year,indicator_abbr,dimension,subgroup,order,estimate,population,data_source
LCA,LCA,2019,smokeless,sex,SEX_MLE,1,0.1,,GHO
ETH,ETH,2016,smokeless,sex,SEX_MLE,1,2.6,,GHO
SEN,SEN,2017,smokeless,sex,SEX_FMLE,1,0.1,,GHO
AZE,AZE,2011,smokeless,sex,SEX_FMLE,1,0.0,,GHO
LAO,LAO,2015,smokeless,sex,SEX_BTSX,1,4.3,,GHO
KAZ,KAZ,2019,smokeless,sex,SEX_BTSX,1,1.4,,GHO
KEN,KEN,2015,smokeless,sex,SEX_MLE,1,4.0,,GHO
BRA,BRA,2013,smokeless,sex,SEX_MLE,1,0.5,,GHO
FIN,FIN,2021,smokeless,sex,SEX_FMLE,1,2.0,,GHO
USA,USA,2020,smokeless,sex,SEX_MLE,1,4.5,,GHO
BTN,BTN,2019,smokeless,sex,SEX_FMLE,1,8.3,,GHO
GMB,GMB,2010,smokeless,sex,SEX_FMLE,1,1.4,,GHO
RUS,RUS,2022,smokeless,sex,SEX_BTSX,1,0.2,,GHO
MDV,MDV,2021,smokeless,sex,SEX_BTSX,1,3.8,,GHO
FIN,FIN,2021,smokeless,sex,SEX_BTSX,1,7.0,,GHO
BWA,BWA,2017,smokeless,sex,SEX_MLE,1,2.1,,GHO
BHS,BHS,2019,smokeless,sex,SEX_BTSX,1,0.1,,GHO
LCA,LCA,2019,smokeless,sex,SEX_BTSX,1,0.2,,GHO
WSM,WSM,2013,smokeless,sex,SEX_BTSX,1,0.9,,GHO
ERI,ERI,2010,smokeless,sex,SEX_MLE,1,11.6,,GHO
CHN,CHN,2018,smokeless,sex,SEX_MLE,1,1.6,,GHO
CRI,CRI,2015,smokeless,sex,SEX_MLE,1,0.1,,GHO
NGA,NGA,2012,smokeless,sex,SEX_FMLE,1,0.9,,GHO
MWI,MWI,2017,smokeless,sex,SEX_BTSX,1,1.4,,GHO
SYC,SYC,2013,smokeless,sex,SEX_BTSX,1,0.3,,GHO
IRQ,IRQ,2015,smokeless,sex,SEX_BTSX,1,0.2,,GHO
SAU,SAU,2019,smokeless,sex,SEX_MLE,1,3.7,,GHO
LKA,LKA,2020,smokeless,sex,SEX_MLE,1,23.4,,GHO
SAU,SAU,2019,smokeless,sex,SEX_BTSX,1,2.4,,GHO
GMB,GMB,2010,smokeless,sex,SEX_MLE,1,0.8,,GHO
LSO,LSO,2014,smokeless,sex,SEX_MLE,1,0.7,,GHO
KHM,KHM,2021,smokeless,sex,SEX_FMLE,1,6.5,,GHO
MWI,MWI,2017,smokeless,sex,SEX_FMLE,1,2.1,,GHO
TJK,TJK,2017,smokeless,sex,SEX_BTSX,1,10.3,,GHO
ARM,ARM,2016,smokeless,sex,SEX_MLE,1,0.5,,GHO
ARE,ARE,2018,smokeless,sex,SEX_FMLE,1,0.1,,GHO
UGA,UGA,2014,smokeless,sex,SEX_MLE,1,4.6,,GHO
SWE,SWE,2022,smokeless,sex,SEX_BTSX,1,14.0,,GHO
GRD,GRD,2011,smokeless,sex,SEX_BTSX,1,1.2,,GHO
NOR,NOR,2019,smokeless,sex,SEX_MLE,1,25.0,,GHO
IND,IND,2017,smokeless,sex,SEX_FMLE,1,12.8,,GHO
SVN,SVN,2021,smokeless,sex,SEX_FMLE,1,0.6,,GHO
KAZ,KAZ,2019,smokeless,sex,SEX_FMLE,1,0.1,,GHO
RUS,RUS,2022,smokeless,sex,SEX_MLE,1,0.3,,GHO
TGO,TGO,2011,smokeless,sex,SEX_FMLE,1,2.2,,GHO
VCT,VCT,2014,smokeless,sex,SEX_BTSX,1,0.1,,GHO
UZB,UZB,2019,smokeless,sex,SEX_BTSX,1,9.9,,GHO
UKR,UKR,2017,smokeless,sex,SEX_MLE,1,0.4,,GHO
KEN,KEN,2015,smokeless,sex,SEX_BTSX,1,3.6,,GHO
TGO,TGO,2011,smokeless,sex,SEX_MLE,1,5.1,,GHO
NIU,NIU,2011,smokeless,sex,SEX_MLE,1,0.3,,GHO
ERI,ERI,2010,smokeless,sex,SEX_BTSX,1,2.2,,GHO
KGZ,KGZ,2013,smokeless,sex,SEX_FMLE,1,0.1,,GHO
AGO,AGO,2016,smokeless,sex,SEX_FMLE,1,0.2,,GHO
ISL,ISL,2020,smokeless,sex,SEX_BTSX,1,3.2,,GHO
VEN,VEN,2011,smokeless,sex,SEX_BTSX,1,3.5,,GHO
EGY,EGY,2017,smokeless,sex,SEX_BTSX,1,0.2,,GHO
MWI,MWI,2017,smokeless,sex,SEX_MLE,1,0.7,,GHO
TTO,TTO,2011,smokeless,sex,SEX_MLE,1,0.5,,GHO
MDA,MDA,2021,smokeless,sex,SEX_BTSX,1,0.2,,GHO
BEN,BEN,2018,smokeless,sex,SEX_MLE,1,6.9,,GHO
MMR,MMR,2016,smokeless,sex,SEX_FMLE,1,18.2,,GHO
CMR,CMR,2018,smokeless,sex,SEX_MLE,1,1.1,,GHO
CRI,CRI,2015,smokeless,sex,SEX_FMLE,1,0.0,,GHO
UZB,UZB,2019,smokeless,sex,SEX_FMLE,1,0.4,,GHO
KGZ,KGZ,2013,smokeless,sex,SEX_MLE,1,10.1,,GHO
NRU,NRU,2016,smokeless,sex,SEX_BTSX,1,0.1,,GHO
PHL,PHL,2021,smokeless,sex,SEX_FMLE,1,0.7,,GHO
TKM,TKM,2018,smokeless,sex,SEX_FMLE,1,0.0,,GHO
TLS,TLS,2016,smokeless,sex,SEX_MLE,1,20.9,,GHO
TTO,TTO,2011,smokeless,sex,SEX_FMLE,1,0.3,,GHO
SDN,SDN,2016,smokeless,sex,SEX_FMLE,1,0.2,,GHO
TLS,TLS,2016,smokeless,sex,SEX_FMLE,1,0.2,,GHO
PAN,PAN,2019,smokeless,sex,SEX_BTSX,1,0.7,,GHO
GHA,GHA,2014,smokeless,sex,SEX_BTSX,1,0.8,,GHO
GRD,GRD,2011,smokeless,sex,SEX_FMLE,1,0.3,,GHO
DZA,DZA,2017,smokeless,sex,SEX_FMLE,1,0.4,,GHO
ZAF,ZAF,2021,smokeless,sex,SEX_BTSX,1,0.0,,GHO
DZA,DZA,2017,smokeless,sex,SEX_MLE,1,17.3,,GHO
KIR,KIR,2016,smokeless,sex,SEX_BTSX,1,4.2,,GHO
YEM,YEM,2013,smokeless,sex,SEX_MLE,1,17.0,,GHO
ZAF,ZAF,2021,smokeless,sex,SEX_MLE,1,0.0,,GHO
ZWE,ZWE,2011,smokeless,sex,SEX_MLE,1,1.6,,GHO
UGA,UGA,2014,smokeless,sex,SEX_FMLE,1,2.9,,GHO
ETH,ETH,2016,smokeless,sex,SEX_FMLE,1,0.8,,GHO
URY,URY,2017,smokeless,sex,SEX_FMLE,1,0.0,,GHO
AUT,AUT,2020,smokeless,sex,SEX_BTSX,1,3.4,,GHO
NGA,NGA,2012,smokeless,sex,SEX_BTSX,1,1.9,,GHO
RWA,RWA,2021,smokeless,sex,SEX_BTSX,1,0.9,,GHO
NPL,NPL,2019,smokeless,sex,SEX_BTSX,1,18.3,,GHO
RWA,RWA,2021,smokeless,sex,SEX_FMLE,1,1.4,,GHO
BFA,BFA,2021,smokeless,sex,SEX_MLE,1,2.6,,GHO
VCT,VCT,2014,smokeless,sex,SEX_MLE,1,0.2,,GHO
CHN,CHN,2018,smokeless,sex,SEX_FMLE,1,0.1,,GHO
LAO,LAO,2015,smokeless,sex,SEX_FMLE,1,8.6,,GHO
CMR,CMR,2018,smokeless,sex,SEX_FMLE,1,0.6,,GHO
MDA,MDA,2021,smokeless,sex,SEX_MLE,1,0.2,,GHO
SVN,SVN,2021,smokeless,sex,SEX_MLE,1,2.0,,GHO
VNM,VNM,2020,smokeless,sex,SEX_MLE,1,1.1,,GHO
GHA,GHA,2014,smokeless,sex,SEX_MLE,1,1.9,,GHO
MNG,MNG,2019,smokeless,sex,SEX_BTSX,1,1.9,,GHO
ECU,ECU,2018,smokeless,sex,SEX_MLE,1,0.0,,GHO
ESP,ESP,2020,smokeless,sex,SEX_BTSX,1,0.0,,GHO
SLV,SLV,2022,smokeless,sex,SEX_MLE,1,4.0,,GHO
BTN,BTN,2019,smokeless,sex,SEX_BTSX,1,14.7,,GHO
SWZ,SWZ,2014,smokeless,sex,SEX_BTSX,1,2.2,,GHO
PRK,PRK,2017,smokeless,sex,SEX_BTSX,1,0.0,,GHO
NRU,NRU,2016,smokeless,sex,SEX_MLE,1,0.2,,GHO
MDA,MDA,2021,smokeless,sex,SEX_FMLE,1,0.2,,GHO
FIN,FIN,2021,smokeless,sex,SEX_MLE,1,12.0,,GHO
UKR,UKR,2017,smokeless,sex,SEX_BTSX,1,0.2,,GHO
OMN,OMN,2017,smokeless,sex,SEX_BTSX,1,0.9,,GHO
SDN,SDN,2016,smokeless,sex,SEX_MLE,1,14.3,,GHO
PAN,PAN,2019,smokeless,sex,SEX_FMLE,1,0.3,,GHO
OMN,OMN,2017,smokeless,sex,SEX_FMLE,1,0.1,,GHO
NIU,NIU,2011,smokeless,sex,SEX_BTSX,1,0.2,,GHO
ETH,ETH,2016,smokeless,sex,SEX_BTSX,1,1.7,,GHO
LAO,LAO,2015,smokeless,sex,SEX_MLE,1,0.5,,GHO
CZE,CZE,2021,smokeless,sex,SEX_FMLE,1,1.4,,GHO
PRK,PRK,2017,smokeless,sex,SEX_MLE,1,0.0,,GHO
UZB,UZB,2019,smokeless,sex,SEX_MLE,1,19.8,,GHO
PSE,PSE,2022,smokeless,sex,SEX_BTSX,1,0.1,,GHO
MLI,MLI,2018,smokeless,sex,SEX_MLE,1,1.3,,GHO
ECU,ECU,2018,smokeless,sex,SEX_FMLE,1,0.0,,GHO
COM,COM,2011,smokeless,sex,SEX_FMLE,1,17.4,,GHO
NIU,NIU,2011,smokeless,sex,SEX_FMLE,1,0.2,,GHO
CHE,CHE,2022,smokeless,sex,SEX_BTSX,1,4.4,,GHO
PRK,PRK,2017,smokeless,sex,SEX_FMLE,1,0.0,,GHO
RUS,RUS,2022,smokeless,sex,SEX_FMLE,1,0.1,,GHO
AGO,AGO,2016,smokeless,sex,SEX_MLE,1,2.6,,GHO
LBR,LBR,2011,smokeless,sex,SEX_MLE,1,1.1,,GHO
NPL,NPL,2019,smokeless,sex,SEX_MLE,1,33.3,,GHO
KAZ,KAZ,2019,smokeless,sex,SEX_MLE,1,2.7,,GHO
CHN,CHN,2018,smokeless,sex,SEX_BTSX,1,0.9,,GHO
SDN,SDN,2016,smokeless,sex,SEX_BTSX,1,7.9,,GHO
CRI,CRI,2015,smokeless,sex,SEX_BTSX,1,0.1,,GHO
GHA,GHA,2014,smokeless,sex,SEX_FMLE,1,0.3,,GHO
ARE,ARE,2018,smokeless,sex,SEX_BTSX,1,0.4,,GHO
BRN,BRN,2016,smokeless,sex,SEX_FMLE,1,2.1,,GHO
ARM,ARM,2016,smokeless,sex,SEX_BTSX,1,0.3,,GHO
IRQ,IRQ,2015,smokeless,sex,SEX_FMLE,1,0.0,,GHO
TKM,TKM,2018,smokeless,sex,SEX_BTSX,1,0.2,,GHO
BGD,BGD,2018,smokeless,sex,SEX_BTSX,1,27.5,,GHO
STP,STP,2019,smokeless,sex,SEX_BTSX,1,4.8,,GHO
ECU,ECU,2018,smokeless,sex,SEX_BTSX,1,0.0,,GHO
TJK,TJK,2017,smokeless,sex,SEX_FMLE,1,0.0,,GHO
COM,COM,2011,smokeless,sex,SEX_MLE,1,19.5,,GHO
KWT,KWT,2014,smokeless,sex,SEX_BTSX,1,0.2,,GHO
USA,USA,2020,smokeless,sex,SEX_BTSX,1,2.3,,GHO
ARE,ARE,2018,smokeless,sex,SEX_MLE,1,0.7,,GHO
SLV,SLV,2022,smokeless,sex,SEX_FMLE,1,0.3,,GHO
PHL,PHL,2021,smokeless,sex,SEX_BTSX,1,1.5,,GHO
KIR,KIR,2016,smokeless,sex,SEX_MLE,1,7.6,,GHO
